,GOLEN,ROADSECT_ID,PERIOD,GOCOUNT,TIME,GOTIME
0,3635.9656,145314,1,36,2018-04-06 00:00:00,494.9904
1,2534.2466,145315,1,18,2018-04-06 00:00:00,246.3152
2,743.2366,145316,1,4,2018-04-06 00:00:00,51.3504
3,3777.0553,145317,1,21,2018-04-06 00:00:00,338.4398
4,1397.5946,145318,1,12,2018-04-06 00:00:00,160.6208
5,2684.3298,145319,1,23,2018-04-06 00:00:00,193.6619
6,2406.3516,145320,1,19,2018-04-06 00:00:00,227.2344
7,1224.6621,145321,1,12,2018-04-06 00:00:00,95.9414
8,489.5469,145322,1,7,2018-04-06 00:00:00,93.3163
9,2337.2186,145323,1,17,2018-04-06 00:00:00,226.3767
10,143.9035,145324,1,1,2018-04-06 00:00:00,8.9679
11,138.7743,145325,1,5,2018-04-06 00:00:00,56.4692
12,3249.6693,145326,1,20,2018-04-06 00:00:00,306.9363
13,2220.3697,145327,1,16,2018-04-06 00:00:00,195.2732
14,832.4161,145328,1,9,2018-04-06 00:00:00,102.2126
15,1866.6634,145329,1,11,2018-04-06 00:00:00,197.3413
16,5727.0184,147308,1,48,2018-04-06 00:00:00,542.9122
17,1309.6096,147309,1,18,2018-04-06 00:00:00,179.9043
18,1921.1799,147312,1,11,2018-04-06 00:00:00,128.057
19,2061.7896,147401,1,8,2018-04-06 00:00:00,121.1722
20,1276.3913,147404,1,17,2018-04-06 00:00:00,247.9852
21,3789.1155,147405,1,39,2018-04-06 00:00:00,440.1508
22,3015.179,147406,1,26,2018-04-06 00:00:00,262.5196
23,1312.249,147407,1,12,2018-04-06 00:00:00,106.2088
24,3135.7007,147408,1,17,2018-04-06 00:00:00,174.2347
25,1411.0208,147409,1,13,2018-04-06 00:00:00,95.7509
26,1866.9346,148302,1,8,2018-04-06 00:00:00,308.1012
27,392.7243,148304,1,3,2018-04-06 00:00:00,58.0917
28,811.4092,148305,1,8,2018-04-06 00:00:00,89.3505
29,857.7097,148306,1,10,2018-04-06 00:00:00,155.3964
